,Model,Cross Val Score,MAE,MSE,RMSE,R2
0,Robust Regression,16.49487149522819,6727.4423707676,82.02098737986272,0.209853429954741,0.2950960287104268
1,Ridge Regression,24.7162511145981,4329.295086111691,65.79737902159698,0.4915188455765789,0.555113537678922
2,Lasso Regression,24.406856910525804,4350.630393299856,65.95930861750945,0.4890129869060025,0.5541495046030362
